"TimestampUTC","CorrelationID","RequestID","EmployeeID","SamAccountName","Action","Result","Detail"
"2026-09-04T17:23:09.9209790Z","M04-JOINER-20260904-182309","DATASET","","","PreflightValidation","Success","Approved dataset hash, requests, managers, OUs, groups, and collisions validated."
"2026-09-04T17:23:10.0773332Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","CreateDisabledAccount","Success","Account created in disabled staging state. Password was not logged or exported."
"2026-09-04T17:23:10.1239153Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AssignManager","Success","Approved manager IAM1201 assigned."
"2026-09-04T17:23:10.1396808Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added to GG_IAM_All_Workforce."
"2026-09-04T17:23:10.1552439Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added to GG_IAM_All_Employees."
"2026-09-04T17:23:10.1712307Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added to GG_IAM_Department_InformationTechnology."
"2026-09-04T17:23:10.1712307Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added to GG_IAM_Access_M365_Baseline."
"2026-09-04T17:23:10.1712307Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added to GG_IAM_Access_IT_ServiceDesk."
"2026-09-04T17:23:10.1867694Z","M04-JOINER-20260904-182309","JNR-2026-0904-001","IAM2001","theo.lawson","EnableApprovedAccount","Success","Account enabled after all approved controls were applied."
"2026-09-04T17:23:10.2490061Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","CreateDisabledAccount","Success","Account created in disabled staging state. Password was not logged or exported."
"2026-09-04T17:23:10.2648063Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AssignManager","Success","Approved manager IAM1101 assigned."
"2026-09-04T17:23:10.2805524Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added to GG_IAM_All_Workforce."
"2026-09-04T17:23:10.2805524Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added to GG_IAM_All_Employees."
"2026-09-04T17:23:10.2959873Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added to GG_IAM_Department_HumanResources."
"2026-09-04T17:23:10.2959873Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added to GG_IAM_Access_M365_Baseline."
"2026-09-04T17:23:10.3116989Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added to GG_IAM_Access_HR_Records."
"2026-09-04T17:23:10.3271831Z","M04-JOINER-20260904-182309","JNR-2026-0904-002","IAM2002","isla.grant","EnableApprovedAccount","Success","Account enabled after all approved controls were applied."
"2026-09-04T17:23:10.3739758Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","CreateDisabledAccount","Success","Account created in disabled staging state. Password was not logged or exported."
"2026-09-04T17:23:10.4054649Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","AssignManager","Success","Approved manager IAM1501 assigned."
"2026-09-04T17:23:10.4054649Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","ApplyContractExpiration","Success","Account expiration applied for 2027-03-01."
"2026-09-04T17:23:10.4212869Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added to GG_IAM_All_Workforce."
"2026-09-04T17:23:10.4368527Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added to GG_IAM_All_Contractors."
"2026-09-04T17:23:10.4368527Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added to GG_IAM_Access_Contractor_Portal."
"2026-09-04T17:23:10.4525519Z","M04-JOINER-20260904-182309","JNR-2026-0904-003","IAM2003","mason.cole","EnableApprovedAccount","Success","Account enabled after all approved controls were applied."
"2026-09-04T17:23:10.6243854Z","M04-JOINER-20260904-182309","TRANSACTION","","","PostProvisioningValidation","Success","All approved joiner totals and isolation controls validated."
