"TimestampUTC","CorrelationID","RequestID","EmployeeID","SamAccountName","Action","Result","Detail"
"2026-09-04T19:03:50.1058947Z","M05-MOVER-20260904-200349","DATASET","","","PreflightValidation","Success","Dataset hash, approvals, identities, source states and target resources validated."
"2026-09-04T19:03:50.1681632Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_Access_IT_ServiceDesk."
"2026-09-04T19:03:50.1840757Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_Department_InformationTechnology."
"2026-09-04T19:03:50.1992841Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","UpdateIdentityAttributes","Success","Department, title, worker type and lifecycle description updated."
"2026-09-04T19:03:50.2150013Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","ChangeManager","Success","Manager changed to IAM1401."
"2026-09-04T19:03:50.2306667Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","MoveOrganizationalUnit","Success","Moved identity to approved target OU."
"2026-09-04T19:03:50.2466041Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Access_Operations_Portal."
"2026-09-04T19:03:50.2622207Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Department_Operations."
"2026-09-04T19:03:50.2778118Z","M05-MOVER-20260904-200349","MVR-2026-0904-001","IAM2001","theo.lawson","ValidateMoverState","Success","Identity, manager, OU, expiration and exact IAM memberships match the approved target state."
"2026-09-04T19:03:50.2929926Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_Access_HR_Records."
"2026-09-04T19:03:50.3087251Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_Department_HumanResources."
"2026-09-04T19:03:50.3087251Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","UpdateIdentityAttributes","Success","Department, title, worker type and lifecycle description updated."
"2026-09-04T19:03:50.3245780Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","ChangeManager","Success","Manager changed to IAM1001."
"2026-09-04T19:03:50.3403505Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","MoveOrganizationalUnit","Success","Moved identity to approved target OU."
"2026-09-04T19:03:50.3556024Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Access_Finance_ERP."
"2026-09-04T19:03:50.3714560Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Department_Finance."
"2026-09-04T19:03:50.3871250Z","M05-MOVER-20260904-200349","MVR-2026-0904-002","IAM2002","isla.grant","ValidateMoverState","Success","Identity, manager, OU, expiration and exact IAM memberships match the approved target state."
"2026-09-04T19:03:50.4024820Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_Access_Contractor_Portal."
"2026-09-04T19:03:50.4024820Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","RemoveObsoleteMembership","Success","Removed obsolete access: GG_IAM_All_Contractors."
"2026-09-04T19:03:50.4184123Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","UpdateIdentityAttributes","Success","Department, title, worker type and lifecycle description updated."
"2026-09-04T19:03:50.4338482Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","ChangeManager","Success","Manager changed to IAM1201."
"2026-09-04T19:03:50.4338482Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","MoveOrganizationalUnit","Success","Moved identity to approved target OU."
"2026-09-04T19:03:50.4495426Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","ClearAccountExpiration","Success","Former contractor expiration was cleared after approved employee conversion."
"2026-09-04T19:03:50.4651408Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Access_IT_ServiceDesk."
"2026-09-04T19:03:50.4651408Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Access_M365_Baseline."
"2026-09-04T19:03:50.4651408Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added approved destination access: GG_IAM_All_Employees."
"2026-09-04T19:03:50.4807985Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","AddApprovedMembership","Success","Added approved destination access: GG_IAM_Department_InformationTechnology."
"2026-09-04T19:03:50.4807985Z","M05-MOVER-20260904-200349","MVR-2026-0904-003","IAM2003","mason.cole","ValidateMoverState","Success","Identity, manager, OU, expiration and exact IAM memberships match the approved target state."
"2026-09-04T19:03:50.6526678Z","M05-MOVER-20260904-200349","TRANSACTION","","","PostMoverValidation","Success","All mover target states, totals and isolation controls validated."
